unit_id,name,commander,effective_cost,effective_hp,dps,range,range_factor,collision_factor,operational_factor,cev,rank,scenario
Wrathwalker_SoulArtificer,灵魂巧匠天罚行者,阿拉纳克P1,1727.9,410.0,286.5329512893983,13.0,4.196397212803503,0.8695652173913044,1.1,327.48582446351554,1,通用
Wrathwalker,天罚行者,阿拉纳克,888.95,410.0,76.68711656441718,13.0,4.196397212803503,0.8695652173913044,1.1,170.36548415980138,2,通用
RaidLiberator_AS15,掠袭解放者,诺娃,1401.45,450.0,89.92805755395685,13.0,4.196397212803503,0.8695652173913044,0.9,113.79747443881394,3,通用
Impaler,穿刺者,德哈卡,494.475,286.0,27.586206896551726,11.0,3.969626350956481,0.8695652173913044,0.9,59.48250202681158,4,通用
SiegeTank_Swann,攻城坦克,斯旺,506.975,294.56000000000006,25.0,13.0,3.894009304311786,0.8421052631578947,0.9,51.44158696218599,5,通用
Dragoon,龙骑士,阿塔尼斯,279.65,230.0,8.503401360544217,6.0,3.169925001442312,0.8695652173913044,1.0,23.133326289365442,6,通用
Wrathwalker_SoulArtificer,灵魂巧匠天罚行者,阿拉纳克P1,1727.9,410.0,286.5329512893983,13.0,4.196397212803503,0.8695652173913044,1.1,327.48582446351554,1,对轻甲
Wrathwalker,天罚行者,阿拉纳克,888.95,410.0,76.68711656441718,13.0,4.196397212803503,0.8695652173913044,1.1,170.36548415980138,2,对轻甲
RaidLiberator_AS15,掠袭解放者,诺娃,1401.45,450.0,89.92805755395685,13.0,4.196397212803503,0.8695652173913044,0.9,113.79747443881394,3,对轻甲
Impaler,穿刺者,德哈卡,494.475,286.0,27.586206896551726,11.0,3.969626350956481,0.8695652173913044,0.9,59.48250202681158,4,对轻甲
SiegeTank_Swann,攻城坦克,斯旺,506.975,294.56000000000006,25.0,13.0,3.894009304311786,0.8421052631578947,0.9,51.44158696218599,5,对轻甲
Dragoon,龙骑士,阿塔尼斯,279.65,230.0,8.503401360544217,6.0,3.169925001442312,0.8695652173913044,1.0,23.133326289365442,6,对轻甲
Wrathwalker_SoulArtificer,灵魂巧匠天罚行者,阿拉纳克P1,1727.9,410.0,286.5329512893983,13.0,4.196397212803503,0.8695652173913044,1.1,327.48582446351554,1,对重甲
Wrathwalker,天罚行者,阿拉纳克,888.95,410.0,76.68711656441718,13.0,4.196397212803503,0.8695652173913044,1.1,170.36548415980138,2,对重甲
RaidLiberator_AS15,掠袭解放者,诺娃,1401.45,450.0,89.92805755395685,13.0,4.196397212803503,0.8695652173913044,0.9,113.79747443881394,3,对重甲
Impaler,穿刺者,德哈卡,494.475,286.0,41.37931034482759,11.0,3.969626350956481,0.8695652173913044,0.9,89.22375304021737,4,对重甲
SiegeTank_Swann,攻城坦克,斯旺,506.975,294.56000000000006,30.0,13.0,3.894009304311786,0.8421052631578947,0.9,61.729904354623166,5,对重甲
Dragoon,龙骑士,阿塔尼斯,279.65,230.0,17.006802721088434,6.0,3.169925001442312,0.8695652173913044,1.0,46.266652578730884,6,对重甲
Wrathwalker_SoulArtificer,灵魂巧匠天罚行者,阿拉纳克P1,1727.9,410.0,501.432664756447,13.0,4.196397212803503,0.8695652173913044,1.1,573.1001928111523,1,对建筑
Wrathwalker,天罚行者,阿拉纳克,888.95,410.0,134.20245398773005,13.0,4.196397212803503,0.8695652173913044,1.1,298.1395972796524,2,对建筑
RaidLiberator_AS15,掠袭解放者,诺娃,1401.45,450.0,89.92805755395685,13.0,4.196397212803503,0.8695652173913044,0.9,113.79747443881394,3,对建筑
Impaler,穿刺者,德哈卡,494.475,286.0,27.586206896551726,11.0,3.969626350956481,0.8695652173913044,0.9,59.48250202681158,4,对建筑
SiegeTank_Swann,攻城坦克,斯旺,506.975,294.56000000000006,25.0,13.0,3.894009304311786,0.8421052631578947,0.9,51.44158696218599,5,对建筑
Dragoon,龙骑士,阿塔尼斯,279.65,230.0,8.503401360544217,6.0,3.169925001442312,0.8695652173913044,1.0,23.133326289365442,6,对建筑
